title,year,certificate,duration,genre,rating,votes
The Gentlemen,(2019),R,113 min,"Action, Comedy, Crime",7.800000190734863,"331,508"
The Good Doctor,(2017– ),TV-14,41 min,Drama,8.100000381469727,"92,641"
Downton Abbey,(2010–2015),TV-PG,58 min,"Drama, Romance",8.699999809265137,"204,875"
Extraordinary Attorney Woo,(2022),TV-14,75 min,Drama,8.899999618530273,"9,538"
Smallville,(2001–2017),TV-PG,60 min,"Action, Adventure, Drama",7.5,"127,295"
Star Trek: The Next Generation,(1987–1994),TV-PG,44 min,"Action, Adventure, Sci-Fi",8.699999809265137,"119,655"
BoJack Horseman,(2014–2020),TV-MA,25 min,"Animation, Comedy, Drama",8.800000190734863,"152,649"
"Love, Death & Robots",(2019– ),TV-MA,15 min,"Animation, Short, Action",8.399999618530273,"165,153"
Money Heist,(2017–2021),TV-MA,70 min,"Action, Crime, Drama",8.199999809265137,"469,640"
Orange Is the New Black,(2013–2019),TV-MA,59 min,"Comedy, Crime, Drama",8.100000381469727,"300,354"
Jurassic Park,(1993),PG-13,127 min,"Action, Adventure, Sci-Fi",8.199999809265137,"978,402"
Prison Break,(2005–2017),TV-14,44 min,"Action, Crime, Drama",8.300000190734863,"529,304"
Billions,(2016– ),TV-MA,60 min,Drama,8.399999618530273,"93,451"
Once Upon a Time,(2011–2018),TV-PG,60 min,"Adventure, Fantasy, Romance",7.699999809265137,"223,549"
Titans,(I) (2018– ),TV-MA,45 min,"Action, Adventure, Crime",7.599999904632568,"98,315"
The 100,(2014–2020),TV-14,43 min,"Drama, Mystery, Sci-Fi",7.599999904632568,"248,827"
Jaws,(1975),PG,124 min,"Adventure, Thriller",8.100000381469727,"600,404"
The Catholic School,(2021),TV-MA,106 min,Drama,5.800000190734863,"1,536"
South Park,(1997– ),TV-14,22 min,"Animation, Comedy",8.699999809265137,"366,394"
Spartacus,(2010–2013),TV-MA,55 min,"Action, Adventure, Biography",8.5,"241,105"
Sabse Bada Fan Bole Ciao,(2021 Video),,2 min,"Short, Musical",,
Clueless,(1995),PG-13,97 min,"Comedy, Romance",6.900000095367432,"216,233"
Chesapeake Shores,(2016–2022),TV-PG,42 min,"Drama, Family",7.5,"7,676"
Demon Slayer: Kimetsu no Yaiba,(2019– ),TV-MA,24 min,"Animation, Action, Adventure",8.699999809265137,"97,968"
The Queen's Gambit,(2020),TV-MA,60 min,Drama,8.600000381469727,"432,644"
Pretty Little Liars,(2010–2017),TV-14,44 min,"Drama, Mystery, Romance",7.400000095367432,"166,548"
Mindhunter,(2017–2019),TV-MA,60 min,"Crime, Drama, Mystery",8.600000381469727,"281,506"
"Murder, She Wrote",(1984–1996),TV-PG,50 min,"Crime, Drama, Mystery",7.099999904632568,"24,323"
From,(2022– ),TV-MA,52 min,"Drama, Horror, Mystery",7.599999904632568,"18,826"
Spiderhead,(2022),R,106 min,"Action, Crime, Drama",5.400000095367432,"52,102"
CSI: Crime Scene Investigation,(2000–2015),TV-14,60 min,"Crime, Drama, Mystery",7.699999809265137,"83,833"
Evil,(2019– ),TV-14,42 min,"Crime, Drama, Horror",7.699999809265137,"26,248"
The Lincoln Lawyer,(2022– ),TV-MA,60 min,"Crime, Drama, Mystery",7.699999809265137,"35,356"
Arrested Development,(2003–2019),TV-14,22 min,Comedy,8.699999809265137,"302,834"
Heartland,(II) (2007– ),TV-PG,45 min,"Drama, Family",8.399999618530273,"16,702"
Mo,(2022– ),TV-MA,30 min,"Comedy, Drama",7.599999904632568,"5,261"
Inventing Anna,(2022),TV-MA,65 min,Drama,6.800000190734863,"65,185"
It,(I) (2017),R,135 min,Horror,7.300000190734863,"537,240"
Narcos,(2015–2017),TV-MA,49 min,"Biography, Crime, Drama",8.800000190734863,"416,307"
The Sinner,(2017–2021),TV-MA,45 min,"Crime, Drama, Mystery",7.900000095367432,"120,241"
Homeland,(2011–2020),TV-MA,55 min,"Crime, Drama, Mystery",8.300000190734863,"339,482"
The Haunting of Hill House,(2018),TV-MA,572 min,"Drama, Horror, Mystery",8.600000381469727,"237,198"
Doc Martin,(2004–2022),TV-14,46 min,"Comedy, Drama, Romance",8.399999618530273,"16,147"
Hawaii Five-0,(2010–2020),TV-14,42 min,"Action, Crime, Drama",7.400000095367432,"73,530"
Star Trek: The Original Series,(1966–1969),TV-PG,50 min,"Action, Adventure, Sci-Fi",8.399999618530273,"83,805"
The Next 365 Days,(2022),TV-MA,112 min,"Drama, Romance",2.700000047683716,"5,495"
Don't Look Up,(2021),R,138 min,"Comedy, Drama, Sci-Fi",7.199999809265137,"525,424"
Murdoch Mysteries,(2008– ),TV-PG,48 min,"Crime, Drama, Mystery",8.199999809265137,"14,381"
The Good Wife,(2009–2016),TV-14,43 min,"Crime, Drama, Mystery",8.399999618530273,"75,557"
Shadow and Bone,(2021– ),TV-14,60 min,"Action, Adventure, Drama",7.599999904632568,"82,657"
Sex/Life,(2021– ),TV-MA,45 min,"Comedy, Drama, Romance",5.400000095367432,"21,107"
Gladiator,(2000),R,155 min,"Action, Adventure, Drama",8.5,"1,481,531"
The Punisher,(2017–2019),TV-MA,53 min,"Action, Crime, Drama",8.5,"231,599"
Midnight Mass,(2021),TV-MA,450 min,"Drama, Fantasy, Horror",7.699999809265137,"110,997"
