show_title,rating,votes,total_hours,total_views,weeks_in_top10,average_weekly_views_12m,average_weekly_views_4w,momentum_ratio,proven_demand_score,reliable_demand,demand_pattern,metadata_match_note,original_uk_audience,google_trends_average_12m,google_trends_average_4w,rights_status,current_platform,production_status,confirmed_release_date,estimated_viewers_low,estimated_viewers_base,estimated_viewers_high,projected_value_base_gbp,licence_cost_gbp,benefit_cost_ratio,projected_roi,break_even_viewers,recommendation
Grey's Anatomy,7.599999904632568,303617,64320000,,3,0.0,0.0,,74.74987693786701,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3524213.7506008474,5421867.3086166885,7590614.232063363,13554668.271541722,,,,,Shortlist for rights and cost research
Love on the Spectrum,8.600000381469727,6066,114100000,20500000.0,7,132692.3076923077,0.0,0.0,74.67017446682908,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3520975.8377149315,5416885.904176817,7583640.265847543,13542214.760442043,,,,,Shortlist for rights and cost research
Archive 81,7.300000190734863,48309,129470000,,3,0.0,0.0,,74.65790203546511,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3520477.2701907707,5416118.87721657,7582566.428103197,13540297.193041425,,,,,Shortlist for rights and cost research
Our Beloved Summer,8.300000190734863,5765,128890000,,8,0.0,0.0,,74.46597653395017,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3512680.2966917255,5404123.533371885,7565772.946720639,13510308.833429713,,,,,Shortlist for rights and cost research
Sweet Home,7.300000190734863,21055,123400000,14800000.0,5,0.0,0.0,,74.42767902824214,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3511124.460522337,5401729.939265134,7562421.914971187,13504324.848162834,,,,,Shortlist for rights and cost research
Raising Dion,7.099999904632568,15055,172870000,,4,0.0,0.0,,73.48430017771827,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3472799.694719805,5342768.761107392,7479876.265550348,13356921.90276848,,,,,Shortlist for rights and cost research
Young Royals,8.300000190734863,30076,54270000,4500000.0,5,0.0,0.0,,73.37930096422629,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3468534.1016716934,5336206.310264143,7470688.8343698,13340515.775660358,,,,,Shortlist for rights and cost research
The Sinner,7.900000095367432,120241,51250000,,3,0.0,0.0,,72.96837002145175,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3451840.0321214776,5310523.126340735,7434732.3768770285,13276307.815851837,,,,,Shortlist for rights and cost research
Too Hot to Handle,4.699999809265137,12484,405620000,22000000.0,16,0.0,0.0,,72.64284180060375,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3438615.4481495274,5290177.612537734,7406248.657552827,13225444.031344336,,,,,Shortlist for rights and cost research
The Blacklist,8.0,245592,37770000,,3,0.0,0.0,,71.91237668547797,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3408940.3028475423,5244523.542842372,7342332.959979321,13111308.857105931,,,,,Shortlist for rights and cost research
Grace and Frankie,8.199999809265137,51896,50910000,,3,0.0,0.0,,71.45208662031683,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3390241.0189503715,5215755.413769802,7302057.579277722,13039388.534424506,,,,,Shortlist for rights and cost research
1899,9.600000381469728,853,257160000,,5,0.0,0.0,,71.44884015703143,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3390109.1313794022,5215552.5098144645,7301773.51374025,13038881.27453616,,,,,Shortlist for rights and cost research
Dark Desire,6.5,7693,202940000,,5,0.0,0.0,,71.43828170996137,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3389680.194467181,5214892.606872586,7300849.64962162,13037231.517181464,,,,,Shortlist for rights and cost research
The Cook of Castamar,7.400000095367432,3956,173470000,,8,0.0,0.0,,71.36989790094455,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3386902.102225872,5210618.618809034,7294866.066332648,13026546.547022585,,,,,Shortlist for rights and cost research
Pasión de Gavilanes,7.800000190734863,2514,208760000,,9,0.0,0.0,,71.24492223966104,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3381824.96598623,5202807.639978815,7283930.695970341,13007019.099947037,,,,,Shortlist for rights and cost research
Our Planet,9.300000190734863,43175,35400000,10400000.0,3,0.0,0.0,,71.2279848913361,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3381136.8862105296,5201749.055708507,7282448.67799191,13004372.639271267,,,,,Shortlist for rights and cost research
Worst Roommate Ever,7.099999904632568,7812,133570000,15100000.0,5,0.0,0.0,,71.05893508057441,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3374269.237648336,5191183.442535901,7267656.819550262,12977958.606339753,,,,,Shortlist for rights and cost research
Hospital Playlist,8.800000190734863,5360,72060000,,7,0.0,0.0,,71.008840446413,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3372234.143135528,5188052.527900812,7263273.539061137,12970131.31975203,,,,,Shortlist for rights and cost research
The King's Affection,7.900000095367432,3202,138540000,,10,0.0,0.0,,70.73722080908512,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3361199.595369083,5171076.30056782,7239506.820794947,12927690.75141955,,,,,Shortlist for rights and cost research
True Story,6.300000190734863,69032,90820000,,3,0.0,0.0,,70.55044069914494,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3353611.6534027634,5159402.543696559,7223163.561175182,12898506.359241398,,,,,Shortlist for rights and cost research
